job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function
12684,1753,261,471,302,622,2007,1092,1230,0,1,1,1,7,10,48,37
13913,1751,1007,471,302,726,359,948,25,0,1,1,1,2,4,15,16
4688,1791,735,471,302,641,2448,2561,1619,0,1,1,5,7,13,116,37
15151,1957,67,180,302,296,997,336,292,1,1,1,0,2,7,8,14
11711,1712,574,471,302,886,1676,1302,1619,0,0,0,3,7,13,116,37
3754,2182,487,226,302,886,2108,1340,1619,0,0,1,5,7,13,116,37
14792,2249,524,226,302,711,2071,771,684,0,1,1,1,5,1,94,18
7240,1043,667,40,302,71,311,2091,1619,0,1,0,5,7,1,116,37
14593,25,667,471,302,369,381,2561,1619,0,1,0,5,7,13,116,37
7146,90,253,471,114,430,161,9,1639,1,1,0,1,0,4,0,0
9545,185,950,471,131,213,635,1842,343,0,1,0,1,0,1,58,27
13583,1056,1089,471,302,735,1604,1110,1619,0,1,0,5,7,13,116,37
15060,1418,824,471,302,760,91,2561,1619,0,0,0,1,7,13,35,37
8837,1417,1072,263,107,84,1888,1186,347,0,1,1,1,2,4,71,12
6144,211,91,474,185,876,37,754,279,0,1,1,1,0,1,55,18
11584,969,1094,471,302,735,2778,327,1619,0,1,1,1,0,13,80,17
13014,1186,299,53,302,886,3164,1131,127,0,0,0,0,5,9,64,31
11434,1853,1158,471,302,560,1838,2144,1024,0,1,1,1,0,0,116,37
9511,329,91,471,302,876,2893,1012,1315,0,1,0,1,3,5,55,37
11878,623,610,471,302,104,3200,1787,1619,0,1,0,1,5,1,21,12
796,552,1061,471,302,486,2205,1214,1619,0,1,0,1,2,4,37,7
5396,336,103,163,302,886,2463,405,186,0,0,1,5,7,13,116,37
6848,719,478,471,302,351,3053,2345,1509,0,1,0,1,1,1,55,31
12256,681,877,471,302,771,2732,2561,1619,0,1,1,5,7,13,116,37
4310,2091,1176,471,302,761,1948,2561,1619,0,1,1,5,7,13,116,37
5930,378,463,22,302,102,2107,917,1619,0,1,1,1,5,1,0,0
5492,2235,306,471,302,882,2880,1483,1619,0,1,1,1,7,13,116,29
6913,806,544,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
15961,989,1142,471,302,518,2678,751,979,0,1,1,5,7,13,116,37
914,1649,487,128,249,886,2073,729,611,0,0,0,1,0,1,6,32
15123,253,359,272,148,127,400,1172,62,0,1,1,1,5,1,55,22
15179,2770,731,416,302,701,238,1943,1619,0,1,0,1,5,1,55,12
6805,1114,670,471,302,601,427,2218,1619,0,1,1,0,7,4,48,16
4437,1473,618,471,302,240,901,655,433,0,1,0,1,0,13,110,22
8107,950,116,471,109,720,2559,1977,1568,0,1,1,1,5,9,21,18
15851,382,950,272,302,307,184,473,181,0,1,0,1,7,13,116,22
15619,2507,983,471,302,760,51,2561,1619,0,0,0,1,7,13,0,37
14080,223,153,471,302,254,1398,2561,1619,0,1,0,5,7,13,116,37
2609,1741,390,322,302,886,2692,11,31,0,0,0,5,7,13,116,37
4712,13,499,272,302,886,1135,1252,859,1,0,1,5,7,13,116,37
2186,2429,1113,235,302,579,2035,35,43,0,1,0,1,5,1,55,18
992,217,610,471,302,440,3138,2440,1624,0,1,1,1,6,13,58,18
605,578,1113,471,302,486,2225,1505,1619,0,1,0,1,2,4,35,20
3201,2043,927,471,302,886,1056,2004,1619,0,0,0,1,2,9,58,31
482,1103,930,471,302,675,835,2216,1619,0,1,1,1,7,5,116,11
10465,2395,580,163,302,840,2102,708,179,0,1,0,1,5,1,21,12
11729,926,247,471,130,493,1541,581,1061,0,1,0,1,5,9,21,18
17680,1110,1140,94,302,886,2932,522,135,0,0,0,5,7,13,116,37
15813,2126,311,272,302,12,2374,58,54,0,1,1,5,7,13,116,22
1774,279,953,471,302,813,520,2522,596,0,1,0,1,6,13,58,37
13510,748,756,19,173,132,766,2548,1619,0,1,1,1,7,1,58,7
700,2495,158,471,27,254,1137,836,668,0,1,1,1,0,9,70,31
3869,720,774,255,302,886,1124,439,1029,0,0,1,1,1,1,48,1
3872,1699,170,471,302,254,1034,98,324,0,1,1,5,6,4,116,1
15076,730,579,339,302,840,808,1357,1147,0,1,0,1,7,13,31,22
7132,1092,534,307,244,890,1093,1531,1472,0,1,1,1,2,1,80,23
13246,44,922,471,302,707,2512,345,1354,0,1,0,1,5,13,37,37
17649,2646,531,272,302,886,1392,1237,1619,0,0,1,1,6,13,70,22
5228,621,935,162,302,472,1494,991,1619,0,1,0,1,7,13,54,12
14142,926,614,471,302,391,1333,2561,1619,0,1,1,1,5,1,81,12
14037,472,660,471,302,886,1268,2561,1619,0,0,0,5,7,13,116,37
7213,2365,415,163,276,540,1773,2597,1227,0,1,1,1,5,1,30,12
15434,1859,953,339,302,472,1498,1789,1619,0,1,0,5,7,13,116,37
9766,2086,542,471,302,747,2627,361,1289,0,1,0,1,7,13,116,31
14822,2250,415,471,255,304,1203,2483,1583,0,1,1,1,5,5,23,12
8635,132,381,471,302,736,2595,1495,1108,0,1,1,1,0,1,7,12
2747,1167,1082,471,302,264,961,1332,1619,0,1,0,1,2,13,55,18
10331,2341,622,471,302,886,1430,1291,1187,0,0,0,1,7,1,78,12
5378,1824,543,471,302,552,1812,735,369,0,1,0,1,0,13,48,1
12653,128,1095,313,302,489,378,1031,236,0,1,0,1,2,4,106,7
6743,2004,307,381,302,886,1954,52,311,0,0,1,1,2,5,85,31
5270,53,127,471,302,254,2697,829,297,0,1,1,4,0,9,26,31
6463,2001,731,471,302,289,1386,1832,1619,0,1,1,0,5,5,55,18
15681,23,574,471,302,760,47,2561,1619,0,0,0,1,7,13,21,37
14277,1340,72,391,302,886,357,2561,1619,0,1,1,1,0,1,29,31
10730,2197,1075,454,302,815,3180,2470,1528,0,1,1,1,5,1,21,12
4434,1445,156,272,302,263,960,2240,1000,0,1,1,1,0,13,116,22
9849,805,511,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
17605,2449,1089,471,302,886,1251,687,1619,0,0,0,1,7,13,80,12
8473,61,781,391,302,509,2094,698,899,0,1,0,1,5,1,21,31
12363,1040,311,471,302,335,487,2343,1456,1,1,1,1,7,13,58,22
15969,197,371,471,302,740,1185,2108,867,0,1,1,1,7,13,21,18
14075,1172,247,55,302,631,2024,1797,1619,0,1,0,1,0,13,18,37
16174,2631,610,391,96,242,908,84,496,0,1,0,1,1,5,58,31
12709,145,1075,44,302,815,435,2493,1531,0,1,1,1,5,1,21,12
5898,201,88,391,302,524,1681,1564,1619,0,1,1,1,2,13,37,31
16152,382,247,313,302,631,2153,1346,1619,0,1,0,1,5,13,18,37
6732,2097,609,471,302,517,1659,1955,957,0,1,1,1,0,1,58,31
17268,2364,763,471,231,886,1588,1242,890,0,1,0,1,5,1,21,26
6157,2698,247,471,302,374,157,1879,999,0,1,1,1,7,13,58,37
6564,840,545,471,302,886,1244,1378,1088,0,0,0,5,7,13,116,37
13930,2061,226,376,302,326,0,2161,655,0,0,1,5,7,13,116,37
6586,731,1044,471,290,409,2159,1535,1619,0,1,1,1,1,1,14,29
1465,225,897,471,302,64,2140,1664,1120,0,1,0,0,7,13,75,37
5653,1108,515,146,302,76,385,19,113,0,1,0,1,7,13,102,31
107,987,147,471,302,254,3158,1247,322,0,1,1,1,4,4,116,37
14447,2162,297,163,302,298,1829,2330,1006,0,1,1,1,5,1,58,12
8928,2413,598,168,302,248,1665,1553,1619,0,1,0,1,5,1,55,18
2091,2758,217,471,302,886,2650,2478,1128,0,0,1,5,7,13,116,37
17445,2442,318,467,302,886,2052,2574,2,0,1,1,1,6,9,41,37
9380,507,299,471,302,886,926,1150,1044,0,1,1,1,0,1,49,26
9948,1033,407,180,302,46,262,2509,944,0,1,0,1,7,5,33,13
3073,1637,103,313,302,756,2530,1039,538,0,1,1,1,7,13,116,37
13485,2578,677,471,302,886,1339,2561,1619,0,0,0,5,7,13,116,37
15162,891,610,471,302,371,266,1558,1133,0,1,0,5,7,13,116,37
13102,816,234,166,302,792,2299,2425,163,0,1,1,0,0,9,101,4
11198,806,703,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
16567,1991,573,471,302,886,1918,2561,1619,0,0,0,1,5,13,55,37
6969,2701,339,471,302,371,2269,2460,1625,0,1,1,1,5,13,21,9
17165,68,377,391,302,889,1112,2561,1619,0,1,0,5,7,13,116,31
16456,632,415,471,202,749,2978,2167,177,0,1,1,1,2,1,55,8
2449,2273,950,391,302,112,2949,1228,533,0,1,1,1,5,1,70,31
1105,913,950,471,302,549,1798,2226,953,0,1,1,0,7,1,45,36
9145,2526,311,471,302,334,1909,726,1278,0,1,1,1,5,1,56,18
6338,2576,392,471,302,559,1466,1568,734,0,0,1,1,7,13,105,6
1125,2148,247,471,159,886,510,769,1619,0,0,1,1,5,13,21,37
14081,1024,331,136,302,411,407,482,1619,0,1,1,1,2,1,27,9
13347,900,311,471,302,498,1549,894,615,0,1,0,0,7,13,38,37
13275,1393,67,471,243,886,2584,1181,1079,0,0,0,1,7,13,55,18
5237,1819,922,471,302,625,3229,1167,500,0,1,1,1,1,5,46,22
6910,806,1045,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
16178,495,677,180,302,447,1583,1158,1619,0,1,1,1,5,1,48,13
13540,1306,600,391,302,509,2091,691,901,0,1,0,1,2,1,21,31
6604,1468,898,471,0,308,2780,2052,1619,0,1,0,4,4,7,95,22
12512,2586,524,471,302,329,1650,564,1619,0,1,1,1,2,4,108,34
13922,2535,852,73,302,416,1024,811,1619,0,1,1,1,7,1,55,0
11035,584,529,471,302,486,2398,1512,1619,0,1,0,3,2,4,35,7
9466,968,610,471,302,886,1130,1978,1619,0,1,1,1,7,13,116,37
12974,717,950,471,302,156,210,119,1619,0,1,0,5,7,13,116,37
2290,2592,479,471,213,351,2526,1260,791,0,1,1,1,6,9,27,9
16305,1638,279,471,71,842,1266,587,1619,0,1,0,1,2,1,101,7
10289,689,731,463,222,701,739,1018,556,0,1,0,1,1,1,25,22
7939,257,256,471,302,439,777,1823,379,0,1,0,1,0,1,37,5
12687,98,65,13,192,611,1209,723,1101,0,1,0,1,7,1,46,37
7150,1943,338,326,302,584,1922,939,1619,0,1,1,1,2,1,1,17
10207,926,622,420,302,827,3031,1337,775,0,1,1,1,0,13,58,12
2927,2314,247,471,183,90,1277,410,1432,0,1,0,1,5,1,28,22
8939,1017,874,471,302,797,1701,2203,1107,0,1,1,0,2,1,29,11
8396,2110,589,471,302,707,1440,2148,892,0,1,1,1,0,9,37,31
7857,2028,655,471,302,550,1947,1338,649,0,1,0,1,5,9,101,31
11297,2095,1089,8,203,76,1220,44,37,0,1,0,1,7,13,25,31
10764,2285,731,471,302,654,2859,1421,1619,0,1,0,1,7,1,18,12
4847,806,1029,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
11979,2021,726,471,286,776,1720,1362,231,0,0,0,1,5,1,55,18
5731,2697,475,436,302,806,2080,2598,1481,0,1,0,1,5,13,58,18
9501,2151,483,268,142,617,1582,1547,888,0,1,1,1,5,1,101,20
1150,1017,510,471,302,797,1702,2203,1107,0,1,1,0,2,1,29,11
16204,450,610,471,302,392,1341,1398,1169,0,1,0,3,2,1,58,22
12062,1743,1087,471,302,760,313,352,1619,0,0,0,1,7,13,116,18
13106,248,667,471,302,451,3191,652,1619,0,1,0,3,7,13,70,37
883,2288,960,471,302,886,2,2561,1619,0,0,0,1,7,13,24,7
7262,847,487,110,302,886,3216,1096,1619,1,0,0,0,7,1,116,6
8546,1457,781,272,0,700,680,2177,1344,0,1,1,1,0,1,37,22
10710,2238,607,471,302,118,345,198,401,0,1,1,1,5,1,58,12
5564,1600,876,471,302,886,2923,1277,13,0,0,1,5,7,13,116,37
3618,653,403,471,302,165,1226,1708,1619,0,1,0,0,7,1,21,37
12065,154,840,471,302,760,66,2561,1619,0,0,0,1,7,13,21,37
15047,962,247,436,302,700,1645,856,1403,0,1,1,1,5,1,37,18
1798,2164,460,471,302,886,1509,988,139,0,0,1,5,7,13,116,37
4909,807,1046,471,302,797,1704,2207,1107,0,1,1,0,7,1,29,11
1041,1134,866,217,302,92,1020,1046,376,0,1,0,1,2,9,49,37
7942,1017,764,471,302,797,1709,2203,1107,0,1,1,0,2,1,29,11
10708,1296,202,471,129,562,2336,2258,1318,0,1,1,1,5,9,21,18
6672,1886,1110,471,302,886,924,2561,1619,0,0,0,0,5,1,106,29
1373,881,1166,471,302,735,171,2561,759,0,1,0,1,7,13,80,37
15984,722,67,272,222,886,1863,680,1316,0,0,1,1,0,13,58,22
4539,674,930,471,302,675,2072,480,1619,0,1,1,1,5,1,29,23
3837,2078,330,391,302,411,412,1388,1619,0,1,1,1,2,1,55,31
6366,68,78,471,302,886,277,2200,1619,0,0,1,1,5,13,70,37
5795,2561,1093,84,302,836,632,258,317,0,1,1,3,2,4,106,7
14163,243,136,471,302,254,1052,94,322,0,1,1,1,2,4,27,1
12105,1837,1066,471,302,886,137,532,1619,0,0,0,1,7,13,116,37
742,2190,239,165,302,787,219,773,1619,0,1,1,1,0,1,21,12
13289,1387,864,471,302,191,703,1472,1619,0,1,1,3,0,13,74,16
8516,534,337,471,302,871,714,2561,1619,0,1,1,1,7,13,106,7
9462,146,588,471,302,874,854,40,46,0,1,0,1,5,1,21,12
11808,2179,15,415,302,636,2033,2561,1619,0,1,0,1,5,13,55,9
12505,558,1113,471,302,486,2208,1211,1619,0,1,0,3,2,4,37,7
1348,552,986,471,302,486,2177,2076,1619,0,1,0,1,2,4,8,7
14153,2502,824,471,302,760,86,2561,1619,0,0,0,1,7,13,68,37
2533,1585,926,471,302,391,1331,2050,391,0,1,1,1,5,13,116,37
4134,1220,696,471,302,653,2081,1822,1144,0,1,0,5,6,9,56,31
3151,2716,607,471,302,517,1661,428,1209,0,1,1,0,0,1,58,0
10034,869,667,471,302,512,2059,2561,1619,0,1,0,1,4,7,92,6
14855,1358,247,471,200,786,1471,375,144,0,1,0,1,5,9,37,9
344,1904,324,414,1,724,785,727,459,0,1,0,1,5,1,106,29
15636,104,938,471,302,389,491,2039,1619,0,1,1,1,2,13,37,1
13331,2715,23,415,302,636,2679,2561,1619,0,1,0,1,0,13,55,25
8429,1046,1089,471,302,120,3030,538,1333,0,1,1,1,7,13,21,37
9767,2042,50,471,302,886,679,2561,1619,0,0,0,1,0,4,115,31
12381,2341,983,471,302,760,54,2561,1619,0,0,0,1,7,13,21,37
3285,1868,469,356,302,227,887,6,2,1,0,1,5,7,13,116,37
7226,608,303,391,302,886,128,1356,59,0,0,0,5,7,13,116,37
2364,1872,696,471,302,585,819,1248,670,0,1,0,1,2,4,70,31
6803,249,610,136,302,371,241,111,486,0,1,1,1,6,13,21,9
10068,1436,696,471,302,760,167,1076,1619,0,0,0,1,5,1,30,12
7547,344,1135,471,302,707,2477,1542,893,0,1,0,1,5,9,37,20
16261,373,552,446,302,130,546,819,841,1,1,0,0,6,4,108,7
2551,2250,415,129,287,332,873,1042,253,0,1,1,1,5,1,55,18
17656,498,834,113,302,656,2490,1343,287,0,1,1,1,5,0,6,12
7236,741,905,372,252,682,2253,893,210,1,1,1,1,5,1,79,30
12114,1909,731,471,302,760,117,2561,1619,0,0,0,1,7,13,116,37
13622,7,950,471,302,217,796,1816,1619,0,1,0,1,2,13,70,2
12598,1404,950,471,302,830,2605,2561,1619,0,1,1,2,6,13,58,23
12758,1948,153,313,302,506,1624,2152,184,0,1,0,5,7,13,116,37
718,2608,247,116,302,212,216,303,656,0,1,1,1,5,13,58,9
13748,154,781,471,302,760,65,2561,1619,0,0,0,1,7,13,21,37
6675,2017,1067,471,302,886,1073,1410,449,0,0,0,1,7,4,67,25
6656,633,667,471,302,760,937,208,1619,0,0,0,1,7,13,55,37
15824,2751,487,471,302,647,29,2561,1619,1,1,0,3,4,13,116,36
14108,1249,667,471,302,71,2248,1998,1619,0,1,0,1,5,1,10,37
4323,2180,415,471,302,661,2974,176,1619,0,1,1,5,7,13,116,37
2991,2765,731,163,260,701,3202,1734,1619,0,1,0,1,5,1,55,12
11726,468,610,122,302,690,586,2561,1619,0,1,0,5,7,13,116,7
12700,271,607,471,302,833,566,2603,1459,0,1,0,1,7,13,48,31
2863,1669,247,436,201,820,121,1516,264,0,1,1,1,5,1,58,18
7352,1401,475,471,302,259,2929,2427,1619,0,1,1,0,7,1,18,18
2599,228,840,471,302,543,539,666,1619,0,1,0,1,7,13,30,37
2401,2459,331,471,302,384,640,2398,651,0,1,1,2,4,1,55,37
834,214,123,471,302,452,1458,2561,787,0,1,0,1,6,13,58,12
9211,2529,1075,348,302,442,1446,87,63,0,1,0,1,5,13,31,25
5309,2644,950,196,302,212,217,301,274,0,1,0,1,1,13,58,37
4479,500,487,471,302,886,1255,1615,1619,0,0,1,5,7,13,116,37
2778,1654,269,471,302,886,549,2111,1232,0,0,1,5,7,13,116,37
16969,2068,769,471,302,396,2653,983,606,0,1,0,5,7,13,116,37
5446,1015,950,98,302,298,1821,2368,1006,0,1,1,1,2,1,58,6
6380,1430,1089,471,302,559,10,46,1619,0,0,0,1,7,13,116,37
6249,2091,607,471,9,886,659,728,105,0,0,0,1,2,4,102,31
6783,157,428,233,53,172,1285,2623,334,0,1,0,0,0,1,55,18
14726,878,882,471,302,852,963,2129,434,0,1,0,1,1,1,36,7
11096,556,1005,471,302,486,2218,1214,1619,0,1,0,3,2,4,21,7
17550,2105,348,399,218,886,625,2633,764,0,0,1,1,5,9,0,0
13531,223,128,471,302,254,1402,2561,1619,0,1,0,5,7,13,116,37
2608,1090,126,471,119,886,1092,1101,1447,0,0,0,1,2,13,105,5
1982,2388,347,313,174,886,2564,2559,1270,0,0,0,1,2,4,25,7
13564,2052,610,272,302,93,3038,222,1619,0,1,1,1,2,13,58,22
17629,529,693,471,302,886,144,563,278,0,0,1,5,7,13,64,37
11103,1016,1013,471,302,797,1700,2204,1107,0,1,0,0,7,1,29,37
14383,2090,1103,9,203,76,1222,44,37,0,1,0,1,7,13,25,31
1924,889,303,471,302,886,973,1011,1145,0,0,1,5,7,13,116,37
496,557,750,471,302,486,2220,1211,1619,0,1,0,1,2,4,56,1
15457,682,415,272,302,737,1158,2496,1334,0,1,1,1,5,13,55,22
2803,1651,1033,471,302,886,1637,792,1555,1,1,1,0,0,9,21,31
14480,1564,1106,229,187,97,474,832,134,0,1,1,1,0,0,55,18
5183,1971,548,471,302,83,642,1465,868,0,1,1,5,7,13,116,37
8076,1623,487,471,302,513,3129,2561,947,0,1,1,5,7,13,116,37
3258,2470,311,471,302,886,493,1607,1619,0,0,1,5,7,13,116,37
6048,2457,738,471,302,541,1775,795,1619,0,1,1,1,4,13,68,6
17355,1196,610,391,225,799,479,418,388,0,1,1,1,7,1,70,31
10222,1481,364,272,16,834,3077,720,1541,0,1,1,1,6,1,55,22
12037,1989,311,436,302,203,749,182,1393,1,1,1,1,5,13,58,12
15949,1409,731,471,302,760,1815,1075,1619,0,0,0,1,5,1,5,9
890,2446,950,471,302,886,2633,2257,989,1,1,1,3,4,9,70,22
7699,1721,1093,471,302,372,1211,1710,1341,1,1,1,3,2,0,79,37
3309,739,69,471,302,886,2236,1184,1619,0,0,1,5,7,13,116,37
5190,1763,1068,471,302,82,476,267,856,0,1,1,5,7,1,85,31
2500,995,607,313,302,608,1989,203,870,0,1,0,1,5,1,65,20
2059,1517,160,471,302,254,3218,94,324,0,1,1,1,6,4,112,37
